hexagram_id,name,chinese,pinyin,unicode,binary,upper_trigram,lower_trigram,upper_element,lower_element,upper_trigram_binary,lower_trigram_binary,category,polarity,action,action_polarity,book,voiceWeight,coherence,chaos,whimsy,darkTone,inject_primary,inject_secondary,porosity,reflection_past,reflection_present,reflection_future,inversion_partner,complement_partner,is_palindromic,is_dual,future_hexagram_id,future_hexagram_name,future_binary,reason
51,The Arousing,震,zhèn,䷲,100100,Zhen,Zhen,Thunder,Thunder,100,100,sovereign,yang,ASSERT,yang,7,0.7,0.5,0.55,0.25,0.35,sudden_awakening,adversarial_sharp,3,Past echo from The Arousing: Thunder below Thunder — Sovereign command echoing from genesis revisited. The arousing root feeds memory.,"Present voice of The Arousing: 震 zhèn — Thunder over Thunder. The Arousing is the arousing meeting arousing, assert as sovereign.",Future signal from The Arousing: next move leans assert within sovereign. The Thunder ascends from Thunder foundation.,52,57,False,False,51,The Arousing,100100,"thunder over thunder, arousing shock"
52,Keeping Still,艮,gèn,䷳,001001,Gen,Gen,Mountain,Mountain,001,001,boundary,yin,WAIT,yin,7,0.85,0.92,0.1,0.05,0.2,meditative_pause,quiet_strength,0,Past echo from Keeping Still: Mountain below Mountain — Edge-state trembling between worlds revisited. The still root feeds memory.,"Present voice of Keeping Still: 艮 gèn — Mountain over Mountain. Keeping Still is the still meeting still, wait as boundary.",Future signal from Keeping Still: next move leans wait within boundary. The Mountain ascends from Mountain foundation.,51,58,False,False,52,Keeping Still,001001,"mountain over mountain, keeping still"
53,Development,漸,jiàn,䷴,001011,Gen,Xun,Mountain,Wind,001,011,transformer,yao,ADAPT,yao,7,0.8,0.87,0.2,0.2,0.08,gradual_patience,steady_ascent,1,Past echo from Development: Wind below Mountain — Form dissolving into new shape revisited. The gentle root feeds memory.,"Present voice of Development: 漸 jiàn — Mountain over Wind. Development is the still meeting gentle, adapt as transformer.",Future signal from Development: next move leans adapt within transformer. The Mountain ascends from Wind foundation.,54,54,False,True,16,Enthusiasm,000100,"wind over mountain, development"
54,The Marrying Maiden,歸妹,guī mèi,䷵,110100,Dui,Zhen,Lake,Thunder,110,100,dissipator,yin,YIELD,yin,7,0.6,0.5,0.45,0.5,0.25,risky_union,warm_cooperation,3,Past echo from The Marrying Maiden: Thunder below Lake — Energy scattering before reassembly revisited. The arousing root feeds memory.,"Present voice of The Marrying Maiden: 歸妹 guī mèi — Lake over Thunder. The Marrying Maiden is the joyous meeting arousing, yield as dissipator.",Future signal from The Marrying Maiden: next move leans yield within dissipator. The Lake ascends from Thunder foundation.,53,53,False,True,10,Treading,111011,"thunder over lake, marrying maiden"
55,Abundance,豐,fēng,䷶,001101,Li,Zhen,Fire,Thunder,101,100,sovereign,yang,ASSERT,yang,7,0.75,0.6,0.5,0.3,0.2,peak_prosperity,excess_weight,3,Past echo from Abundance: Thunder below Fire — Sovereign command echoing from genesis revisited. The arousing root feeds memory.,"Present voice of Abundance: 豐 fēng — Fire over Thunder. Abundance is the clinging meeting arousing, assert as sovereign.",Future signal from Abundance: next move leans assert within sovereign. The Fire ascends from Thunder foundation.,56,60,False,False,7,The Army,000010,"thunder over fire, abundance peak"
56,The Wanderer,旅,lǚ,䷷,101100,Gen,Li,Mountain,Fire,001,101,dissipator,yin,ADAPT,yao,7,0.65,0.55,0.45,0.35,0.3,journeying_stranger,soft_persistence,2,Past echo from The Wanderer: Fire below Mountain — Energy scattering before reassembly revisited. The clinging root feeds memory.,"Present voice of The Wanderer: 旅 lǚ — Mountain over Fire. The Wanderer is the still meeting clinging, adapt as dissipator.",Future signal from The Wanderer: next move leans adapt within dissipator. The Mountain ascends from Fire foundation.,55,59,False,False,24,Return,100000,"fire over mountain, wanderer"
57,The Gentle,巽,xùn,䷸,011011,Xun,Xun,Wind,Wind,011,011,boundary,yin,YIELD,yin,7,0.85,0.9,0.15,0.2,0.1,soft_persistence,enduring_rhythm,1,Past echo from The Gentle: Wind below Wind — Edge-state trembling between worlds revisited. The gentle root feeds memory.,"Present voice of The Gentle: 巽 xùn — Wind over Wind. The Gentle is the gentle meeting gentle, yield as boundary.",Future signal from The Gentle: next move leans yield within boundary. The Wind ascends from Wind foundation.,58,51,False,False,57,The Gentle,011011,"wind over wind, gentle persistence"
58,The Joyous,兌,duì,䷹,110110,Dui,Dui,Lake,Lake,110,110,transformer,yao,YIELD,yin,7,0.82,0.8,0.2,0.6,0.05,open_pleasure,harmonic_flow,2,Past echo from The Joyous: Lake below Lake — Form dissolving into new shape revisited. The joyous root feeds memory.,"Present voice of The Joyous: 兌 duì — Lake over Lake. The Joyous is the joyous meeting joyous, yield as transformer.",Future signal from The Joyous: next move leans yield within transformer. The Lake ascends from Lake foundation.,57,52,False,False,58,The Joyous,110110,"lake over lake, joyous openness"
59,Dispersion,渙,huàn,䷺,010011,Kan,Xun,Water,Wind,010,011,dissipator,yin,ADAPT,yao,7,0.7,0.65,0.4,0.3,0.15,scattering_wind,measured_restraint,3,Past echo from Dispersion: Wind below Water — Energy scattering before reassembly revisited. The gentle root feeds memory.,"Present voice of Dispersion: 渙 huàn — Water over Wind. Dispersion is the abysmal meeting gentle, adapt as dissipator.",Future signal from Dispersion: next move leans adapt within dissipator. The Water ascends from Wind foundation.,60,56,False,False,32,Duration,011100,"wind over water, dispersion"
60,Limitation,節,jié,䷻,110010,Dui,Kan,Lake,Water,110,010,boundary,yin,WAIT,yin,7,0.8,0.9,0.15,0.1,0.15,measured_restraint,community_source,1,Past echo from Limitation: Water below Lake — Edge-state trembling between worlds revisited. The abysmal root feeds memory.,"Present voice of Limitation: 節 jié — Lake over Water. Limitation is the joyous meeting abysmal, wait as boundary.",Future signal from Limitation: next move leans wait within boundary. The Lake ascends from Water foundation.,59,55,False,False,60,Limitation,110010,"water over lake, limitation"
61,Inner Truth,中孚,zhōng fú,䷼,110011,Dui,Xun,Lake,Wind,110,011,transformer,yao,YIELD,yin,8,0.88,0.93,0.1,0.15,0.05,sincere_resonance,soft_persistence,1,Past echo from Inner Truth: Wind below Lake — Form dissolving into new shape revisited. The gentle root feeds memory.,"Present voice of Inner Truth: 中孚 zhōng fú — Lake over Wind. Inner Truth is the joyous meeting gentle, yield as transformer.",Future signal from Inner Truth: next move leans yield within transformer. The Lake ascends from Wind foundation.,,62,True,False,34,Power of the Great,111100,"wind over lake, inner truth"
62,Preponderance of the Small,小過,xiǎo guò,䷽,001100,Zhen,Gen,Thunder,Mountain,100,001,dissipator,yin,WAIT,yin,8,0.68,0.7,0.35,0.2,0.25,cautious_flight,restrained_storage,2,Past echo from Preponderance of the Small: Mountain below Thunder — Energy scattering before reassembly revisited. The still root feeds memory.,"Present voice of Preponderance of the Small: 小過 xiǎo guò — Thunder over Mountain. Preponderance of the Small is the arousing meeting still, wait as dissipator.",Future signal from Preponderance of the Small: next move leans wait within dissipator. The Thunder ascends from Mountain foundation.,,61,True,False,19,Approach,110000,"mountain over thunder, small preponderance"
63,After Completion,既濟,jì jì,䷾,101010,Li,Kan,Fire,Water,101,010,boundary,yin,WAIT,yin,8,0.82,0.88,0.15,0.1,0.1,achieved_state,deep_test,2,Past echo from After Completion: Water below Fire — Edge-state trembling between worlds revisited. The abysmal root feeds memory.,"Present voice of After Completion: 既濟 jì jì — Fire over Water. After Completion is the clinging meeting abysmal, wait as boundary.",Future signal from After Completion: next move leans wait within boundary. The Fire ascends from Water foundation.,64,64,False,True,17,Following,100110,"water over fire, after completion"
64,Before Completion,未濟,wèi jì,䷿,010101,Kan,Li,Water,Fire,010,101,transformer,yao,ADAPT,yao,8,0.6,0.45,0.5,0.25,0.3,becoming_chaos,renewal_light,3,Past echo from Before Completion: Fire below Water — Form dissolving into new shape revisited. The clinging root feeds memory.,"Present voice of Before Completion: 未濟 wèi jì — Water over Fire. Before Completion is the abysmal meeting clinging, adapt as transformer.",Future signal from Before Completion: next move leans adapt within transformer. The Water ascends from Fire foundation.,63,63,False,True,18,Work on Decayed,011001,"fire over water, before completion"
